name,totalCred,github,discourse,address,discord,discordId,id
mrsbadgerface,78.23441153341957,,,,,,"['8CYWWHWr2szCJPfLpIYA4w', 'u6jl5EaAQvBzzwuKlUMT2A']"
tree-pi,57.36017381460981,,,,,,['ZYk4OC45GooRx7cnH4wPbA']
gene,53.99838947786799,csggene3,gene,0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B,r33pich33p#6906,3.364238965992325e+17,"['y50K8dyQbtgK0QdpplO88g', '9HqWd1orTwRtbxeSJRS44Q']"
vivianedias,51.847493492605736,,,,,,['l1RBzLX5AADhl3VueDRagA']
yarode,51.53342431026511,,,,,,['W7hRsGkW9A65mX699583ag']
octopus,51.4091194009907,,,,,,['xs8UmxH3fbDTr4roq2AEVw']
wslyvh,49.38823479839087,,,,,,['MOaLoPwjNKj1FARh0QOY3A']
al0ysi0us,59.97816314955205,,,,,,"['2IvGvXRbmQH2X6IM8sRyFQ', 'kasDSxZf75ZmolF34Jy7KA']"
maghaali,44.117651241685245,,,,,,"['iWK8bkU8dLtWhxqrijIlow', '5mvNbmnlyM1mHBJpcVxYAw']"
hozzjss,40.221723955314125,,,,,,['6l82wRUzsNvi3eJXfWQ82w']
heater,40.18488691828919,,heater,0x57F540a736a647EF2d2Ef9Cd823C4a4e655858a4,heater#9765,7.653178079524946e+17,"['w7FJSpfMI7GsvkhgENYKuA', 'X6dWRUKBPmGsaD522BWXgQ']"
nickmartitsch,39.933069039199935,,,,,,['51GoAKy7cZsg9yD2T2L6Gg']
innov8tor3,36.53461057924159,,,,,,['HnkEOwNtdmBikgtjhZxPOA']
vercel,36.32579413765641,,,,,,"['lrcptYmJmPNOZ17KAyHWnw', 'k9yJaqGR4P6T6KoVeE4guA']"
mzargham,47.392758530602656,mzargham,mzargham,0xDF290293C4A4d6eBe38Fd7085d7721041f927E0a,mz#3472,2.5008658645096858e+17,"['y6pL386gxC0Z0LQMeTkbgg', 'opj8PvMI0DksLURbzRdvlw']"
big-gray-al,35.83900139288712,,,,,,['geAOXOaaaNuJ9kYPIxL9oQ']
naomi-lgbt,35.7886532853374,,,,,,['Pp88OtKntpnQNeXxvNzJeg']
paulo-,34.75213201013512,,,,,,['ayg2FKe6lH9vsj14xojEhQ']
netlify,34.470133807900346,,,,,,['SVL82s5hpnHRGYYjhQMbyA']
costa,34.20225014390773,costa91,costa,0x741670C5085Da689944FAA9543E9aB610a00A06d,costa#7828,2.1694636358434816e+17,"['UreDAOIq3VmpyZWLNS2aYA', '0ln5ak0oj7XcoNhOw4C2gw']"
rosamoc,33.49408677648712,,,,,,['8traortlh07mubQ9zCJXHA']
cfwhisperer,32.65863035911507,,,,,,['2L8lbyJPuEL0UVj3T5Bi7A']
metaverde,32.60722412331289,,,,,,['lArgWtMBN0owKafQaXpdgg']
evalir,31.72289015168712,,,,,,"['3lsGvixr3nj1MBlV7ZuwrQ', 'XVvw6zXG5jBdbfEVmBqAIg']"
durgadas,31.59254809601257,durgadasji,durgadas,0xfF6d6a7718A234A84f740480Dbb07f6c09cF1cD5,durgadas#9280,2.4900520971036262e+17,['i36ZRsX2r4eeBhxaRAwh0Q']
anthonyoliai,31.16143029675101,,,,,,['hR43q3TZ1ZCjpb1V83pNLg']
tangbaifeng,30.89871638950089,,,,,,['n2ZY2ZDePOvHV6q36tlF5w']
letty,29.702527976919743,,letty,0x66D9dfddC3AD45d6383D5B9e9354F60Bc9D16A8e,letty#5399,7.708131506728468e+17,"['lA284bvU4x5gSQsXS97TJA', 'nYfvaCxohRLXJXwljWlfYg']"
tannr,29.261016911624388,,,,,,['Gm69GgxjGEwe9MAS2sNobQ']
kojak,28.416923073675804,,,,,,"['cvVub3CxNehm20E3F11bIg', 'NR1vgm0YH7dvrw4bRH3cKA']"
krisjpi,28.11650352996457,,,,,,['EC9pQPO2Dkr6vrba8yIKzA']
acidlazzer,50.9102448035438,acidlazzer,acidlazzer,0x8aA27E90E139d5AB5704df69429341cbCb2d2464,acidlazzer#5796,5.870950691152855e+17,"['fkXSL37MUORONdyIp2K9eQ', 'rd6qGYHvn81xReTMs1Od2w', 'z69qVwL36bFEZty3aINo2A']"
daithi,27.54414862391134,,,,,,['XVC5wlG8vSjV5ZS3OR9MXg']
bends,27.48007967714525,,bends,0x1E975f53956d644868F3eA25690b1bbEda658565,bends#3537,8.054672707628564e+17,['jRg49FB3TkQOvOdAndKANg']
witwiki,27.75356001643188,,,,,,"['ZLQKd8Q7dfLkixCwJ9AVrw', 'qUVLkw1IxsksGTBS0OLuVw', 'oWP6kzYs3bADM0Y7s4zRxA']"
patriacaelum,26.88058835433765,,,,,,['at3erEO3n1LKLBrd8nJwpQ']
famole,26.17085590177249,,,,,,['W35ogAZwxP7sx94jsETqRg']
sbilbao,25.306589433063177,,,,,,['7AWJaGhAVVkrugrjlEn2nw']
enti,24.63017588582623,,enti,0x6897aBe0fD62B589260784B21F4ca3F78A0D8017,enti#1546,4.521156393817866e+17,"['2hnJBbNI2t2s1WDqu94VCA', 'WoZdnOXz5IEDilPP24ziPQ']"
drllau,31.469916423981925,,,,,,"['0u65wCvw3XLwbLQ7QijdhQ', 'jqR7p548bZXINNzc7NFP7g']"
hbesso31,22.58930609168472,,,,,,['wVi1JPO2XMXMFJPIMDy4iA']
knobsdao,22.325662714785462,,,,,,['2gES3MGJqpKYVSNBnQBkcQ']
mrmadila,22.15336731460977,,,,,,['eZH5b13ToWtzr1z7URwB6w']
freshelle,21.728788052346776,freshelle,freshelle,0x38f80f8f76B1C44B2beeFB63bb561F570fb6ddB6,freshelle#9882,7.622917267687997e+17,"['p7QFaqfMAtaqdjjn9Vv6eg', 'xXoy17KlNJiEHYzsjIX4Bw', 'DADk0j9rwGkEoijzjfLSeQ']"
zhiwei,21.131976811260632,,,,,,['ZnzQIonT4tqsmk2Ilp70Ww']
mcsmith89,21.069951700479525,,,,,,['ca8CLh8NFPs8VYu4XWlo4w']
0xgabi,20.18451264424949,,,,,,['IeafXYmQF8AnzJdByLcLKw']
bradleyc,19.98036529285319,,,,,,"['6NlouXeVAbtjH5zvPxNBOQ', '34SbMyADOdWvJTLT0iMVhg']"
thefredo1000,19.277582301036443,,,,,,['cdRI5i1ZSZRzbLUxlnaBjw']
philh,24.04375008117067,philh,philh,0xAa01DeC5307CF17F20881A3286dcaA062578cea7,philh#1102,1.6591007941604147e+17,"['zmUdcnv3pkxwqEArWRXNTg', 'gowzr68aUjqB65WC88A2vQ']"
felixbbertrand,19.10070743898149,,,,,,['Et1YkeJ12pAWH2bcKQeU2Q']
monstrosity,18.766551787187115,,,,,,"['QooKidh903FG3z7r4Ww1UA', 'Q9teJI89OV86VAL9jvgCQQ']"
gabi,18.303969840851813,,,,,,"['RvkAJK4aFoVIeZZhAAk0AQ', 'S82nBSZRVtG64auzcm2WHw']"
mertozdal,21.590429366061386,,,,,,"['BnGYFoI5afLpBREReoXw5Q', 'AV6GhQrNewcyzzoo7emoDg']"
santteegt,17.579563565263538,santteegt,santteegt,0x224aBa5D489675a7bD3CE07786FAda466b46FA0F,santiago#0325,4.402817642046423e+17,['I29jT03IolyGPtgeB7kj5Q']
thelastjosh,17.415121586998797,,,,,,['sjB6uNZ0e8qTJdEnzLBN8Q']
andrewpenland,17.281403019466502,,,,,,['mQEJ7vXKA6xIJHex7JEXlA']
kzflyer,21.821753212352633,kzflyer,kzflyer,0x343EF442adD9bd565D51b606f444F9221AD0Aeb6,kz flyer#0926,4.3387786484947354e+17,"['0dIAoa7J10u5AkMLAZpsxw', '0Cz18hYNrgJFr7G9tyviKg']"
carlgocht,16.762430393093943,,,,,,['Rk78WJD7vyLvr4O6wZnnsQ']
geleeroyale,14.914657414235643,,,,,,"['hXOgbgupaptpGeSKM3JBaw', 'yTAr1dHmj8KDvGM0R3wBoA']"
mettodo,15.766503381146254,mettodo,mettodo,0x7710E7e881333Fd3396Ca5966BeD6E72746b612D,mettodo#7010,3.792603452287222e+17,"['izNgcjgRtwwgVBBxIqof3g', 'vm7Iy7DrNFxKDmPTPeyMbg']"
credbot,13.815682420374712,,,,,,['M7Ta1uVgniBzK3PDxB9WHg']
bear100,13.442540711078994,bearhub100,bear100,0x47a5BA5BE900fC22AD31BEC4c1ff54Df8e67cd70,bear100#9085,8.360588047596913e+17,"['5papbuqIE9rXmXJRWtqlKA', '82y2ohMsRwsOXh0Rxr7Lww']"
system,12.828092278811368,,,,,,['YLL0KPUKda38hleL5NDhBw']
bustavo,14.49023286893428,,,,,,"['hnd15OIzLZtOfGGDtDAsjQ', 'b0aT4FvCrYrRA1Ur82XuOA', 'LNh9x6FpDayUr5F3wbm5HQ']"
phil,12.566636494465094,,,,,,['hb2p3ewa4JpNpG88w4MABQ']
foxdao,12.347784349394798,,,,,,['2wNOmJZ1orOUZ0lY5loWtg']
shermin,12.155161714419105,,,,,,"['QVLQ8TObC1WI4gTjLnELOQ', 'SlAvsjK32xZXJkTqgcvrMQ', 'aGGu7WSeQZprn8rOnYoang']"
charliex,11.534763243389758,,,,,,"['wA6D2Cvr4YsBnON1PDUw0g', '7Ir9aoEWVrE4BlejwawqfA']"
porobov-p,11.293919830079686,,,,,,['ztp33KrVGTLPdAPxKkpdkQ']
evo,10.88077045343758,,,,,,['Tww4DUOq2MTyCJKdD3LFbA']
paul2,10.46583827857693,,,,,,"['X9lkE0vRSKS4mGpRXekVCw', 'qFwg8Xg6PXzwi9hvn8KQBA']"
lkngtn,10.405010187198398,,,,,,['QvXbYsDrS85W1jFXYMHZLw']
zer8,10.273856450516062,,,,,,['U9h9X9KrZn4iyjT3mqDX7w']
markatwork1,9.876162105621349,,,,,,['l6q0EybQAwFm9BImq9z5cA']
eeli,9.834484483377432,,,,,,['7iARkbO8SOnI2jwPM1T88g']
tinahaibodi,9.729704163068796,,,,,,['WVS7va6aM1Qn98aDdb5p2g']
costa91,9.67605664947298,costa91,costa,0x741670C5085Da689944FAA9543E9aB610a00A06d,costa#7828,2.1694636358434816e+17,['qc8dQFBpgRxc8gWdGZYJZQ']
zarmarquez,12.792665827272506,,,,,,"['pZLLf5rLrNQ5YYJnZdCqpA', 'oRJGzXbvrEw94PaqOLrEuA']"
drat3,9.09715776790608,,,,,,['lcmC50dWg7NNRjg457E83Q']
twells,9.006073782306817,,,,,,['uxblXOmRAqgWX6olmlSkRw']
trentmc0,8.940536652093893,,,,,,"['Unn2NOwMelkPtA8gVG8WsA', 'qHzP4CPA5HlMij16jO2Trg', '61biqu6pHx1mukVJOvKzqQ']"
sichen,8.523641572027378,,,,,,['O1kAqzNlOlG1Y45gjLXrNw']
maxk,8.243874200073355,,,,,,"['BtlReOsdMixKt3NyYpxY8g', '15srUrMwAcQZwAG2kXjLrQ']"
paula,8.212479577213603,,,,,,['S2Rpx2XtaTbvUad3dF2qkg']
bhargavkakadiya,8.059148078543682,,,,,,['lDKKaAJOWjnrnnZFwu3fLQ']
vagpap,8.016115305311965,,,,,,"['ezC6Y3dhx6nejbzEayJjbw', 'cyv2QsaFqLokBJ6SOuO1XA']"
manuelmaccou,7.824179912533591,,,,,,['4otz7ar87lCl6BKKhqHEaw']
nic,7.626112775418346,saunic,nic,0x88B353202e61fffeF56bbfbc2748839e7C707e9F,nic#9212,6.679793094570803e+17,"['3l6OJoZP8ck7MrgXjkxFNQ', 'jOSgsBwtXTEhPdzOAbexwQ']"
dependabot,7.495265988211618,,,,,,['W2SwpmJSBgjTjqAkfBuXIA']
renovate,7.262705812382361,,,,,,['JYmmG4JyMl3K2v4xt4MAPw']
regencrypto,7.045663495346147,,,,,,['PIDOzU6vkaDlmfK5ORGcWg']
klingefjord,6.553957168941729,,,,,,['ePqwRI2SXOtGcey0fnrM3g']
getvested,6.5539571664221805,,,,,,['c86rw0hweJduxgXjwydR0w']
jeverettnichol,6.5539571664221805,,,,,,['ZPds9R8QHDT2K1488oSDSg']
vessenes,6.514065210869513,,,,,,['DvqclcjLKjfNZ8dQ1EvzvA']
fioreb,6.443286421234703,,,,,,['haBxLCEYTb1ZUAgMAZ7qwg']
jme,6.233181153932005,,,,,,"['EwuMPPGtaiVapDU2bdtxWg', 'QGgG3i15MaC7iEzL7uWdqw']"
lescanore,6.231273303323161,,,,,,"['n66y4EnwYl0pLkI7SQhxCw', 'IgK3W3Anb1L9G9adtLHgcw']"
vic,6.196071098354652,,,,,,['S6nkLF9A0qFxtV9b5Ha8Hw']
theode69,6.168895778574511,,,,,,['3dR2mZYTEaf54YmPbm9zrA']
taz,6.118345256569266,,,,,,"['4SZC6GH5XRO4ZdtRAAbbxQ', 'BWmDvOYYXcvk7IyG9DG5AA']"
renovate-bot,5.986582283850039,,,,,,['xDcoBarMLE2sYZOM8AhOEg']
decentralizesdgs,5.8203679253823495,,,,,,"['NOazaKnJSVxWnoNJA5xoYQ', 'gq8AmvoHL3LGz6GwJ7p5lg']"
merlin,5.807480353252867,,,,,,['Sw52DwDVtQQ7N7ZrEfaA2Q']
twell-s,5.740434517000637,,,,,,['7eAWNtd6dGP8Kx9mudIeAw']
teresacd11,5.536118261019702,,,,,,['3dKK798Z8h4d4vA6QPXpNQ']
jh-onchain,5.11282946443906,,,,,,['x1trbEOM7yKmFNDHa76HWg']
randomshinichi,5.112095622883518,,,,,,"['tNNJbIaVZI6QAtk3J6OM4g', 'nGe9EMxxr3oDsNy4Jry9cQ']"
singularityhacker,4.802789032139545,,,,,,['aveQ5yDA4Cndx0PbwCvvPg']
moatazar,4.789265827267383,,,,,,['C1OvLwcD8YpQoDzJtDnfJA']
rex,4.749782431434137,,,,,,"['dMyxaGjQylyDRoeWcJLo6w', 'm8UoqlqoHv7x9nWt8SNUmw']"
willyogo,4.74435367072752,,,,,,['lyRs3aIAAqtbh25SaYQoFA']
shbrennan,4.60703414338119,,,,,,['d7ANp4Q9SvRY0CrtwsLoLQ']
onbjerg,4.607034143381189,,,,,,['eVEwRQ2GmpOmhVL4XyvAGQ']
vasilysumanov,4.441872475289167,,,,,,['OELj8ed4vwUGt8UeMiaotA']
eenti,4.391990702827683,,,,,,['24Hq9sy4ZxALM8IWh1aNjA']
gijsio,4.2838036335462695,,,,,,['iqKXh2xBUyIgdAQ4lTGN2A']
danlessa,4.203884904190274,,,,,,"['T2Jo7SYVv5iQwie7VocR5Q', 'dzwVLw8JWIj63jF3GidVcQ']"
greenhornet,4.047559503372252,,,,,,"['DdZXMB0Wjt5QUzaf8xjNsw', 'EwFVR5FRN45BQdgMSeXYXQ']"
stef,3.922919888028322,,,,,,"['in5gF5JvlHJbzcyTqe1Qkw', 'zXkCqoLniR3XVOnQHajs2A', 'b35yiooMlJDxqyiAFoKoZw']"
bpierre,3.777410069578664,,,,,,['IoMDRoeXb8ILvNvjY60bxQ']
sidcode,3.6779648783758216,,,,,,"['bPzlO4Ipqq8ubjgQpBURNQ', 'e8Y0Ki1n0y8BrT3WKVOj3A']"
neilkt,3.615382231303496,,,,,,"['O5MwlXhLvql4i9CMIYbQQA', 'bGKw4AWfKj8xogxOBncO5Q']"
lbs,3.5529284944809105,,,,,,"['aTEQkkaJko19BdPRJwydLg', '0lECDTdAnMHlu3go0yXfaQ']"
ionneto,3.544813679633853,,,,,,['u4omPRenm84MmwsAcGcPuA']
cleanapp,3.535423775230921,,,,,,"['jiynGSlCjvf4pQmZPo9vRw', 'f4KbWZW3C1ZpOZ0FEDBxoA']"
cryptographr,3.4673808802386503,,,,,,['6MnIwqPZZe9zL3rmI6y2uA']
pinkhoodie,3.453922001584811,,,,,,['zU6lYOAyxPPs0SLzaUbUNg']
befitsandpiper,3.453920605167772,,,,,,['eSBp50UesxjU4iORayGpoA']
kisgus,3.4539206051183693,,,,,,['7gaYZaa6VrmmwmgxyEoneA']
gconnect,3.4539206051183693,,,,,,['Zw0fvvLrYTrpD05quRv3UA']
brymut,3.4539206051183693,,,,,,['VElomZar6G1VnD385a9s0w']
cedrickxyz,3.4539206051183693,,,,,,['7dZXOSG4Twyl7qC2asN5og']
github-actions,3.380847640661349,,,,,,['jwvKsw9ETvUQHL0mOaP8aw']
bearhub100,3.298387810114012,bearhub100,bear100,0x47a5BA5BE900fC22AD31BEC4c1ff54Df8e67cd70,bear100#9085,8.360588047596913e+17,['e6SRu4KNeS0L5x309c4k1w']
clara-zi,3.258546500275725,,,,,,['uEbA6ki86xGNLCPJXOBmSg']
baartch,3.2309350411331272,,,,,,"['BdBzrNptWPySKNGKR8vETA', 'qaQMizQ7mxPCjHoElWWRvQ']"
haxelax,3.224942565022453,,,,,,"['okXcxCWubMXWbkQzy1Q6RQ', '8mEHZRoll4oaQj2EooDorg']"
boonjue,3.21400618439034,boonjue,boonjue.eth,0xEf0391ccbebf15fc84334D9630255093754cDAAB,boonjue.eth#7124,9.087993812291543e+17,['514vW4Qqt2oY4rKkjw5tzg']
raul,3.1933452566968343,,,,,,"['anhbNeEVgF60qvwFW1tDNw', '3CXXPXHJNqEDLVIaDwsA4w']"
catall,3.109463097656239,,,,,,['dckiOvUb2L6xNMAAjBVjAw']
lexbirdie,3.0906236826367386,,,,,,['xnnAuV5sB4tnnO4eH3ymsg']
tuath,3.028538036942048,,,,,,['VX0ywzfe3y0UvZhJBtgVrA']
crazykay,2.942384748726204,,,,,,['Jz0tLKLpIArgDAdrzqvMoQ']
razga,2.929603495220144,,,,,,['nmjdTpm5CgrhKOD9P7SB1w']
saunic,2.886743749818089,saunic,nic,0x88B353202e61fffeF56bbfbc2748839e7C707e9F,nic#9212,6.679793094570803e+17,['IqKASOWwc08SLl41vVjJIA']
ashleymaas,2.791976762626202,,,,,,['yHa0r3NC4fy7RmcwQOUNzA']
satorid,2.7892378770302924,,,,,,"['lJjrpwotn2qbOqwPV65kdQ', '87SxDPWk7uEt4JcnXKxeBg']"
mquellhorst,2.7830321998113488,,,,,,['sb2LZw8HRBL247no7zL4zA']
wkarshat,2.780733224784156,,,,,,['42hqsGSZc1q5ibUb0WhLYQ']
papa-raw,2.67588658645967,,,,,,['UkzVoBEQ0I00XZ3eAj0Hxw']
paulhaas,5.23489164431879,,,,,,"['UxLBWVq0zpcvoasM55JF7g', '8bj1rKSEptmgXckSM51SYQ']"
rubenr,2.5628033768774987,,,,,,['UrpKI7eUEAnBktlQDlHElA']
mattyjee,2.559984341085839,mattyg,mattyjee,0x182312C44a219fD492F3aE177D11120a3CcD2EF3,mattyjee#8621,8.84439603401089e+17,"['3rCrJa6tVgDJtdP9t1pOEw', 'ne3yeeKmQpF5GrQCnBeCvg']"
paparaw,2.558546232792044,,,,,,['PrwiBMm1YLiEnx9BMJdzzQ']
gcf,2.4800389757215155,,,,,,"['1SmcORjr7AjXd3E7DGvz8Q', 'pdrjNIXe1jjazwMG9DX7jw']"
efra,2.42478505586052,efraeb,efra,0x438cDDcc8E6f0E0E18CE33F6b5a8fFCFAb5A999c,efra#7972,7.696210454891725e+17,"['9nHmRyBMZrU1ReAIjHkc7w', 'eUo2BZIyw88rsBirxmZqkA']"
angelakte,2.397584697376494,,,,,,['Ue2RGPpS31igG824JJD38A']
emjicy,2.394632914102069,,,,,,['GlylZm52ojMnEcPrZ9GWHg']
pacobacpac,2.373391292575808,,,,,,['r2LF5dPmQTMljBg6byen5A']
bvalosek,2.3026137367620425,,,,,,['0BQ9mpVAeTROp3DCjU31Wg']
aanunez,2.3026137367620425,,,,,,['gUgLJFb2fAqkllKVTGnwPA']
richa,2.253980975890197,,,,,,"['JxcRekuaX9OCe4PbXvVbqw', 'fZJB2sjERBwok4KwJ7Rs7A']"
pab,2.248808493901615,,,,,,"['Y6rKDk9P1saZ187nEFpxYg', 'afAjig2j2uNUViYG3RgB2g', 'ce0sqm26uomx8VygBIJ68A']"
csggene3,2.236204674363242,csggene3,gene,0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B,r33pich33p#6906,3.364238965992325e+17,['N59AgyPg71UQ3tZ76AhMEw']
block007,2.209268260309075,,,,,,['v5SrNx0qV4BLsJFyPWkCbA']
ratio,2.118492696048395,,,,,,['p1eB0y09Z5azqwIwdhVwFg']
curlybracketeffect,2.087283649378067,,,,,,"['63jahrm9VN7txY0NWIYBig', 'W3Y6Ck6jTzoLLlyegD2R4Q']"
luisotravez,2.0651266188236943,,,,,,['oaJokgy4PWMWiwSAbYoq0Q']
xm3van,1.875211867829425,,,,,,"['ZL9QOrcvhvXRCVT7SV9ZVg', 'HDOMcZs1mWmLUnQwoz0v5w']"
kant,1.858622922047133,,,,,,['hgPu8tDL3opB5br2CYgzDQ']
johannsuarez,1.8389231796573904,,,,,,['ydVfgbU7WsPeanO3c0J76Q']
jasontphelps,1.8355063599634551,,,,,,['ZFlkP9P6laMhBnYZLg27XQ']
c0mput3rxz,1.7908107295232147,,,,,,['l9GMm1QHVzPsLtdDKRgWPA']
teamyonks,1.7842835292489063,,,,,,['TdpPQYVvMwW3Px0DR8Eglw']
ataberkcasur,1.75241565880936,,,,,,['OZvwaGjg1BC9pTY4pYKtmg']
