,id,name,totalGrainPaid,totalCred
73,bjnndH4HokQLURvU2ZBnGA,rperez89,0.0,133.24433270566445
17,zpOhAq0V2ekJ8JTz7vZ7OQ,JeffEmmett,269.43825457417705,124.612978426134
34,uLxpHZxGaW9BGmSdWYgRaA,ddan,62.24535863197665,116.15196533462958
49,qg032DF3AY9rtOCPMxxPzw,PJColombo,27.27486762158264,113.98488466405342
680,1A8G9FAAkjbVVqa2s3kuKw,AngelDeBenji,,112.30952927168518
25,SW3QLzfLRvQkXcmy4MxMNg,Mateo-Daza,101.82524012804832,111.54184742228016
681,xhOcQzwGWNJRrarQuPLglQ,TylerBoardroom,,109.94071983410542
15,TzIeoV93DiaIbB0N96YseQ,Tonga,381.6420434167882,108.5233307971637
24,UYJ01LogpK0L6kwBjJKmkA,danelsuga,131.8020330145612,104.91270468635769
22,qHmKcWP1VSZwp7pEXtatJA,solsista,164.08838522466272,102.70406922283313
21,K75nyjCyrwIaaocVNNBphg,vegayp,178.85233841895516,99.7733939181524
682,52RNq9lhLGMtrZpNRldJsQ,zxqx,,98.96612555460332
683,6vWueYzqtrbQnDrYqxJy7Q,crisog,,94.53340338916176
684,cqQecgI9lvbS9DAQvVwuNg,sudheerDev,,88.70110511035763
685,59i8fD5Sk3nFVVtJhRyUQg,akrtws-discourse,,87.37373511526839
30,c6OUrobvVXjorSmWOC0kCA,mount-manu,87.23135863400749,80.57678995301268
18,2xX69XcgLBvkq5ZwV2y7rw,cranders1,241.12649507476544,74.16421694557205
641,DUosng8s9oJ7T9nlsOjbvg,hurek,0.0,72.14991467994814
666,HLXHQgFzO8IEKx8D4z2gNA,blazingthirdeye,0.0,71.90459076828354
39,FE8bRvmLfmv6zKfrVDe8Kw,laurenluz,55.754363031358,69.76373540668419
686,pg4JNwNv9881Vl9BsRsvnQ,jds3d,,68.01503834499238
57,elMNuPEwhDJbWWcKEbOJ1Q,LinuxIsCool,0.0,67.80978054143254
65,LEw4ujPRRRn6HZabOodtJw,willjgriff,0.0,66.94960506336604
687,Ge8I1Vymxltyeb517Hdq6A,graial,,66.45378998334951
665,8CYWWHWr2szCJPfLpIYA4w,MrsBadgerface,0.0,63.4201009777564
688,ZYk4OC45GooRx7cnH4wPbA,tree-pi,,57.378158921011895
689,y50K8dyQbtgK0QdpplO88g,gene,,54.13139189748974
29,ReYHrv8KxmqyJmOF038YOw,Suga,93.0368491291066,53.52692218741602
36,l1RBzLX5AADhl3VueDRagA,vivianedias,60.67950362606917,51.90384235597854
640,LZflQJjRV2qaZKc2C03WTw,laurenluz-github,0.0,51.87000741435512
690,W7hRsGkW9A65mX699583ag,yarode,,51.59068697514086
639,xs8UmxH3fbDTr4roq2AEVw,octopus,0.0,51.12143070406511
691,1xhOmI6qua9KbiaUKIKigw,gideonro-github,,49.91303045454577
692,2IvGvXRbmQH2X6IM8sRyFQ,AL0YSI0US,,44.755434991452766
693,iWK8bkU8dLtWhxqrijIlow,maghaali,,44.1666590608422
26,MOaLoPwjNKj1FARh0QOY3A,wslyvh-discourse,99.33075479038122,40.69150794426583
694,6l82wRUzsNvi3eJXfWQ82w,hozzjss,,40.27750096739857
695,51GoAKy7cZsg9yD2T2L6Gg,nickmartitsch,,39.97744169333496
646,w7FJSpfMI7GsvkhgENYKuA,Heater-discourse,0.0,39.68689092084293
635,lrcptYmJmPNOZ17KAyHWnw,vercel-github,0.0,36.367402500509925
696,HnkEOwNtdmBikgtjhZxPOA,innov8tor3,,36.21499161174759
697,geAOXOaaaNuJ9kYPIxL9oQ,Big-Gray-Al,,35.87638524071987
698,hqAkwef9sDlGAjsPk2DGdA,naomi-lgbt,,35.828420648898216
638,y6pL386gxC0Z0LQMeTkbgg,mzargham,0.0,35.80666983677002
35,ayg2FKe6lH9vsj14xojEhQ,paulo-,61.064259886947646,34.78681241929468
699,SVL82s5hpnHRGYYjhQMbyA,netlify,,34.508015147052895
28,8traortlh07mubQ9zCJXHA,rosamoc,99.23311899290672,33.5111232324376
700,2L8lbyJPuEL0UVj3T5Bi7A,CFWHISPERER,,32.68793386560254
43,lArgWtMBN0owKafQaXpdgg,metaverde,48.341558993353374,32.5859936409136
70,3lsGvixr3nj1MBlV7ZuwrQ,Evalir,0.0,31.75813970727297
104,i36ZRsX2r4eeBhxaRAwh0Q,durgadas,0.0,31.51832336517424
53,hR43q3TZ1ZCjpb1V83pNLg,anthonyoliai,13.935376893415562,31.19590426602613
701,aug9Fqu7tzhKxbdL7XbMQQ,mount-manu-zz,,31.014219322113743
702,n2ZY2ZDePOvHV6q36tlF5w,TangBaiFeng,,30.933050267651133
649,lA284bvU4x5gSQsXS97TJA,Letty,0.0,29.565748422242585
703,UreDAOIq3VmpyZWLNS2aYA,Costa-discourse,,29.418609870849547
23,Gm69GgxjGEwe9MAS2sNobQ,Tannr,132.4575178828873,29.281335840292645
704,cvVub3CxNehm20E3F11bIg,Kojak,,28.364133041856167
40,EC9pQPO2Dkr6vrba8yIKzA,krisjpi,54.619813307908025,28.137459895252995
32,XVC5wlG8vSjV5ZS3OR9MXg,daithi,71.78555039960503,27.57397597953154
705,jRg49FB3TkQOvOdAndKANg,bends,,27.44277970638991
706,ZLQKd8Q7dfLkixCwJ9AVrw,witwiki-github,,27.088263371044487
707,at3erEO3n1LKLBrd8nJwpQ,patriacaelum,,26.910460084604946
659,fkXSL37MUORONdyIp2K9eQ,acidlazzer,0.0,26.280680051954025
619,W35ogAZwxP7sx94jsETqRg,famole,0.0,26.199701961317707
42,7AWJaGhAVVkrugrjlEn2nw,sbilbao,50.50412431817441,25.181859519371447
27,0u65wCvw3XLwbLQ7QijdhQ,drllau,99.2804594468527,24.62576594627384
708,rd6qGYHvn81xReTMs1Od2w,acidlazzer-github,,23.25011119184548
45,wVi1JPO2XMXMFJPIMDy4iA,HBesso31,35.50405842132431,22.53899030105496
709,eZH5b13ToWtzr1z7URwB6w,MrMadila,,22.17798357749925
710,ZnzQIonT4tqsmk2Ilp70Ww,zhiwei,,21.40912939320195
711,ca8CLh8NFPs8VYu4XWlo4w,mcsmith89,,21.09260496336642
712,p7QFaqfMAtaqdjjn9Vv6eg,freshelle-discourse,,20.86707230929798
713,IeafXYmQF8AnzJdByLcLKw,0xGabi,,20.205440059097803
648,6NlouXeVAbtjH5zvPxNBOQ,BradleyC,0.0,20.000109950456764
714,cdRI5i1ZSZRzbLUxlnaBjw,thefredo1000,,19.28104414271981
715,Et1YkeJ12pAWH2bcKQeU2Q,felixbbertrand,,19.12193162227189
633,QooKidh903FG3z7r4Ww1UA,Monstrosity-discourse,0.0,18.72386362624552
51,zmUdcnv3pkxwqEArWRXNTg,philh,20.64906778090629,18.682124419661683
31,2gES3MGJqpKYVSNBnQBkcQ,knobsdao,73.0402683823276,18.393704187573256
716,2hnJBbNI2t2s1WDqu94VCA,enti-discourse,,18.252453426900555
651,RvkAJK4aFoVIeZZhAAk0AQ,gabi,0.0,18.2326148756328
717,BnGYFoI5afLpBREReoXw5Q,mertozdal,,18.084076049940737
718,I29jT03IolyGPtgeB7kj5Q,santteegt,,17.59441944871935
38,sjB6uNZ0e8qTJdEnzLBN8Q,thelastjosh,56.84002103085922,17.42410176954601
719,mQEJ7vXKA6xIJHex7JEXlA,andrewpenland,,17.300603543624955
46,0dIAoa7J10u5AkMLAZpsxw,KZFlyer,31.78820868629256,16.994356176689955
720,Rk78WJD7vyLvr4O6wZnnsQ,CarlGocht,,16.781056347956852
721,kasDSxZf75ZmolF34Jy7KA,AL0YSI0US-github,,15.224958102107347
625,hXOgbgupaptpGeSKM3JBaw,geleeroyale-github,0.0,14.928175829180546
669,u6jl5EaAQvBzzwuKlUMT2A,MrsBadgerface-github,0.0,14.812509026652831
722,izNgcjgRtwwgVBBxIqof3g,mettodo,,14.33565122068964
723,M7Ta1uVgniBzK3PDxB9WHg,credbot,,13.831034000921152
620,YLL0KPUKda38hleL5NDhBw,system,0.0,12.842190730474064
47,hb2p3ewa4JpNpG88w4MABQ,Phil,29.684310635838017,12.624155099247142
724,hnd15OIzLZtOfGGDtDAsjQ,bustavo-discourse,,12.618389594888685
725,5papbuqIE9rXmXJRWtqlKA,bear100-discourse,,12.54527757010973
726,2wNOmJZ1orOUZ0lY5loWtg,foxdao,,12.361504897661924
628,QVLQ8TObC1WI4gTjLnELOQ,Shermin-discourse,0.0,12.020513007976769
727,opj8PvMI0DksLURbzRdvlw,mzargham-github,,11.558711415487611
652,wA6D2Cvr4YsBnON1PDUw0g,CharlieX,0.0,11.534430996925437
650,ztp33KrVGTLPdAPxKkpdkQ,porobov-p,0.0,11.297239971158232
44,Tww4DUOq2MTyCJKdD3LFbA,Evo,40.63895977944694,10.88741279285995
728,X9lkE0vRSKS4mGpRXekVCw,paul2-discourse,,10.476416768248129
66,QvXbYsDrS85W1jFXYMHZLw,lkngtn,0.0,10.41651133257814
662,U9h9X9KrZn4iyjT3mqDX7w,ZER8,0.0,10.272888923490036
729,l6q0EybQAwFm9BImq9z5cA,markatwork1,,9.887136248195102
41,7iARkbO8SOnI2jwPM1T88g,eeli,51.59849476060207,9.844627840549034
730,WVS7va6aM1Qn98aDdb5p2g,tinahaibodi,,9.740515556289369
731,qc8dQFBpgRxc8gWdGZYJZQ,Costa91,,9.617945691060749
732,pZLLf5rLrNQ5YYJnZdCqpA,ZarMarquez,,9.196157218985974
657,lcmC50dWg7NNRjg457E83Q,dRAT3,0.0,9.107349976047656
733,uxblXOmRAqgWX6olmlSkRw,twells,,9.009479382660595
734,Unn2NOwMelkPtA8gVG8WsA,trentmc0-discourse,,8.884925933870932
632,O1kAqzNlOlG1Y45gjLXrNw,sichen,0.0,8.532895811385375
623,BtlReOsdMixKt3NyYpxY8g,MaxK-discourse,0.0,8.257044586862431
627,S2Rpx2XtaTbvUad3dF2qkg,Paula,0.0,8.221151279723994
735,lDKKaAJOWjnrnnZFwu3fLQ,bhargavkakadiya,,8.068103167195702
736,ezC6Y3dhx6nejbzEayJjbw,vagpap,,8.023679966465647
737,3l6OJoZP8ck7MrgXjkxFNQ,nic,,7.585596503297319
67,W2SwpmJSBgjTjqAkfBuXIA,dependabot,0.0,7.53220101305192
624,3x3NC602Ia9sg5QQtMBQ4g,wslyvh,0.0,7.481733083527627
738,JYmmG4JyMl3K2v4xt4MAPw,renovate,,7.270775938821706
739,PIDOzU6vkaDlmfK5ORGcWg,regencrypto,,7.00719203252095
660,jqR7p548bZXINNzc7NFP7g,drllau-discourse,0.0,6.898388206863408
740,N2BJeJ64sWr1bzrvxIM9Cw,ManuelMaccou,,6.802300869775064
741,JxxXwpl4Zg4cROddCz5BGw,klingefjord,,6.561240011967806
658,c86rw0hweJduxgXjwydR0w,GetVested,0.0,6.56123976482735
742,ZPds9R8QHDT2K1488oSDSg,jeverettnichol,,6.56123976482735
743,DvqclcjLKjfNZ8dQ1EvzvA,vessenes,,6.521222686992236
50,haBxLCEYTb1ZUAgMAZ7qwg,fioreb,24.531618884944564,6.449886203127357
744,EwuMPPGtaiVapDU2bdtxWg,JME-discourse,,6.235731352592421
668,n66y4EnwYl0pLkI7SQhxCw,lEscanore-github,0.0,6.235357177859248
745,4SZC6GH5XRO4ZdtRAAbbxQ,Taz-discourse,,6.221797887875892
48,S6nkLF9A0qFxtV9b5Ha8Hw,vic,28.81385557929788,6.2025998207394055
746,3dR2mZYTEaf54YmPbm9zrA,theode69,,6.1757505000708965
747,xDcoBarMLE2sYZOM8AhOEg,renovate-bot,,5.9932344105897775
748,NOazaKnJSVxWnoNJA5xoYQ,DecentralizeSDGs-discourse,,5.765937471034845
631,Sw52DwDVtQQ7N7ZrEfaA2Q,Merlin,0.0,5.752963034309478
749,7eAWNtd6dGP8Kx9mudIeAw,twell-s,,5.544041094789431
750,3dKK798Z8h4d4vA6QPXpNQ,teresacd11,,5.47243337919215
751,tNNJbIaVZI6QAtk3J6OM4g,randomshinichi-discourse,,5.116761892172221
752,x1trbEOM7yKmFNDHa76HWg,jh-onchain,,5.079141547867495
753,gowzr68aUjqB65WC88A2vQ,PhilH-github,,4.852537818067982
754,aveQ5yDA4Cndx0PbwCvvPg,singularityhacker,,4.808125761786896
755,C1OvLwcD8YpQoDzJtDnfJA,MoatazAR,,4.794587528660105
756,0Cz18hYNrgJFr7G9tyviKg,KZFlyer-github,,4.792204368781625
757,lyRs3aIAAqtbh25SaYQoFA,willyogo,,4.749625464719919
72,eVEwRQ2GmpOmhVL4XyvAGQ,onbjerg,0.0,4.612153344605759
758,d7ANp4Q9SvRY0CrtwsLoLQ,SHBrennan,,4.612153344605758
759,OELj8ed4vwUGt8UeMiaotA,vasilysumanov,,4.40782653143764
760,24Hq9sy4ZxALM8IWh1aNjA,eenti,,4.298075612882362
655,iqKXh2xBUyIgdAQ4lTGN2A,Gijsio,0.0,4.285667353967469
761,T2Jo7SYVv5iQwie7VocR5Q,danlessa-discourse,,4.204889205391103
762,DdZXMB0Wjt5QUzaf8xjNsw,GreenHornet-discourse,,4.039023970650309
763,oSgb08bcopOhQg1lDcGqYw,knobsDAO-discourse,,3.928869838508597
764,in5gF5JvlHJbzcyTqe1Qkw,stef-discourse,,3.913544378786266
71,IoMDRoeXb8ILvNvjY60bxQ,bpierre,0.0,3.7816074124978094
765,bPzlO4Ipqq8ubjgQpBURNQ,sidcode-discourse,,3.671701577380895
766,O5MwlXhLvql4i9CMIYbQQA,neilkt,,3.617937262933193
767,AV6GhQrNewcyzzoo7emoDg,Mertozdal-github,,3.6069981062722274
768,oRJGzXbvrEw94PaqOLrEuA,ZarMarquez-github,,3.5864447711334675
769,u4omPRenm84MmwsAcGcPuA,Ionneto,,3.545895491664285
770,jiynGSlCjvf4pQmZPo9vRw,cleanapp,,3.535318057613196
771,aTEQkkaJko19BdPRJwydLg,LBS-discourse,,3.489074436006152
772,6MnIwqPZZe9zL3rmI6y2uA,Cryptographr,,3.471233732885916
773,zU6lYOAyxPPs0SLzaUbUNg,pinkhoodie,,3.4577598982737774
774,eSBp50UesxjU4iORayGpoA,befitsandpiper,,3.4577585003047373
777,7dZXOSG4Twyl7qC2asN5og,cedrickxyz,,3.457758500255089
776,VElomZar6G1VnD385a9s0w,brymut,,3.457758500255089
775,Zw0fvvLrYTrpD05quRv3UA,gconnect,,3.457758500255089
62,7gaYZaa6VrmmwmgxyEoneA,Kisgus,0.0,3.457758500255089
778,jwvKsw9ETvUQHL0mOaP8aw,github-actions,,3.32053268081964
779,e6SRu4KNeS0L5x309c4k1w,bearhub100,,3.2996834427039152
780,okXcxCWubMXWbkQzy1Q6RQ,haxelax-discourse,,3.2901871701111305
781,uEbA6ki86xGNLCPJXOBmSg,clara-zi,,3.2539612140646383
634,BdBzrNptWPySKNGKR8vETA,baartch,0.0,3.2333777270796142
644,anhbNeEVgF60qvwFW1tDNw,Raul-discourse,0.0,3.189277645224588
636,dckiOvUb2L6xNMAAjBVjAw,catall,0.0,3.112929337138776
782,xnnAuV5sB4tnnO4eH3ymsg,LexBirdie,,3.092959099057768
783,VX0ywzfe3y0UvZhJBtgVrA,Tuath,,3.016333740212311
784,514vW4Qqt2oY4rKkjw5tzg,Boonjue,,3.0104261092562488
785,nmjdTpm5CgrhKOD9P7SB1w,Razga,,2.929046633429304
786,IqKASOWwc08SLl41vVjJIA,saunic,,2.894804864858603
630,Jz0tLKLpIArgDAdrzqvMoQ,CrazyKay,0.0,2.8848806191630505
787,lJjrpwotn2qbOqwPV65kdQ,SatoriD,,2.78697892974006
788,sb2LZw8HRBL247no7zL4zA,mquellhorst,,2.78426050397866
789,yHa0r3NC4fy7RmcwQOUNzA,AshleyMaas,,2.782499872567063
790,42hqsGSZc1q5ibUb0WhLYQ,wkarshat,,2.77580495578765
791,UkzVoBEQ0I00XZ3eAj0Hxw,papa-raw,,2.677023047531796
792,UxLBWVq0zpcvoasM55JF7g,paulhaas-discourse,,2.6364240480942027
793,8bj1rKSEptmgXckSM51SYQ,paulhaas,,2.5997075442473414
794,3rCrJa6tVgDJtdP9t1pOEw,mattyjee-discourse,,2.553257747392489
795,PrwiBMm1YLiEnx9BMJdzzQ,paparaw,,2.5469520290046392
796,dMyxaGjQylyDRoeWcJLo6w,rex-discourse,,2.531325679816581
54,UrpKI7eUEAnBktlQDlHElA,RubenR,10.658509110515531,2.512080265879731
664,1SmcORjr7AjXd3E7DGvz8Q,GCF,0.0,2.478497884204056
797,X6EJkYl3phqfJ4Jw563Fqg,Blazingthirdeye-github,,2.466007603643761
798,9nHmRyBMZrU1ReAIjHkc7w,Efra-discourse,,2.425706368774624
799,GlylZm52ojMnEcPrZ9GWHg,emjicy,,2.397293764800755
800,Ue2RGPpS31igG824JJD38A,AngelaKTE,,2.391276933176987
622,r2LF5dPmQTMljBg6byen5A,pacobacpac,0.0,2.332899432489878
801,0BQ9mpVAeTROp3DCjU31Wg,bvalosek,,2.305172333519938
802,gUgLJFb2fAqkllKVTGnwPA,aanunez,,2.305172333519938
803,Y6rKDk9P1saZ187nEFpxYg,pab-discourse,,2.2489174750453755
59,v5SrNx0qV4BLsJFyPWkCbA,Block007,0.0,2.211289648782548
804,N59AgyPg71UQ3tZ76AhMEw,csggene3,,2.2066356063547263
805,p1eB0y09Z5azqwIwdhVwFg,Ratio,,2.1175658884281634
643,63jahrm9VN7txY0NWIYBig,CurlyBracketEffect,0.0,2.08930665812403
806,oaJokgy4PWMWiwSAbYoq0Q,luisotravez,,2.067352620142708
807,ZL9QOrcvhvXRCVT7SV9ZVg,xm3van-github,,1.877293036199682
808,hgPu8tDL3opB5br2CYgzDQ,kant,,1.858837041710831
809,ZFlkP9P6laMhBnYZLg27XQ,jasontphelps,,1.85616028320029
810,ydVfgbU7WsPeanO3c0J76Q,JohannSuarez,,1.8409612001670788
811,l9GMm1QHVzPsLtdDKRgWPA,c0mput3rxz,,1.7910456871795413
812,TdpPQYVvMwW3Px0DR8Eglw,TeamYonks,,1.786174822892688
813,b0aT4FvCrYrRA1Ur82XuOA,bustavo,,1.7595334136479623
626,OZvwaGjg1BC9pTY4pYKtmg,ataberkcasur,0.0,1.7539942255181171
814,n6nflseS4TB293eD0b09qw,t-rossi-discourse,,1.7198706900533711
815,Pc3LuW4soKp93qSBzsaNSg,Domik20,,1.716865557349902
816,mcVV5intjiL3DdvVYwj1Rw,Maxwe11-discourse,,1.704011091161811
817,21E2MC3uZjqSjq6OBGrmmQ,dekanbro,,1.6870639557544571
818,oU9YqMwhMNKyMMxG5NpC5g,marcodarko1,,1.6870639557544571
819,P5PYKfqK22b9oV3PIkojAA,donKarabi,,1.6750384379902752
68,xTzOQxkyqntbQIw0994PVg,andy-hook,0.0,1.6670294640726733
820,v31i2ewwYm8yjTx9soPvXA,0xdddE,,1.6575471398640214
821,fE3Vc42d2cV1f0U7p8HQeA,farty,,1.5638215906671558
822,mziEWEdu6aJUlfGbafdTRQ,Zion-code,,1.5539023636649567
56,BH2wr1YLBGRCmVtMFW8Xcw,Harthor,0.0,1.5220745872598922
69,y6TBltNMowUQ32NXOgzPuQ,sohkai,0.0,1.4542641695408889
670,4Y7IDsQAfyD6ra7l4J2qyw,Michael-A-Heuer,0.0,1.368528571373599
823,Hjug8BLBoAGDZFEpGggJxQ,prohg,,1.362623611837182
824,vm7Iy7DrNFxKDmPTPeyMbg,Mettodo-github,,1.345371296401451
825,7Xe1I1NjtvIgd8rUE7JVDw,Ekeneodigwe,,1.3045257833667463
826,KJy5OKfq2X9RH2VreGAgog,Danibelle-github,,1.2406103593888544
827,NU4GMvnXCeLgewMmbwlElA,danielo-discourse,,1.166352808626779
836,1JOTMsguKbSqSrsQikaa9A,ErichDylus,,1.1525861667847852
835,W0yo4ZJkxTEEkqyyXNl0aA,sepandhaghighi,,1.1525861667847852
828,T9Ys6D7LqUz5bKTaA5JNwg,ishanjain28,,1.1525861667847852
829,RZJ28vKLFJs2pImN17ZU7Q,wirjo,,1.1525861667847852
830,XpDy0ujeZQU9zFwAxq5B0A,Seb-EthMonk,,1.1525861667847852
831,75T0tyXzE4sxp0b9HYExHQ,0xModene,,1.1525861667847852
832,XJAmjvvSJodGDCnMv4rr5g,kristofernoaccess,,1.1525861667847852
833,kAWvz1PBTzyMXevEPi3vdg,fabianschu,,1.1525861667847852
837,LlXsgiQ3JeCVN0QzEyBc9A,p-murli,,1.1525861667847852
834,6YBXO13SMhndp1KGvAhW5Q,murphy,,1.1525861667847852
841,ClLmX80W6AZgAOzN9wHQQw,brandoniles,,1.1525861667847852
840,9km5zvgDj77VPKKP6YLQqQ,panteo92,,1.1525861667847852
838,pXjFYBYcR6CB4Rv8uVUmRw,a-jwc,,1.1525861667847852
839,SR5JKSAsofwaZ6tVFz8pjg,georgesmith9914,,1.1525861667847852
55,U5vAoK89AGEflFWXB1oQpw,ManuAlzuru,5.486971443814015,1.1282105267510265
842,J9yMAWUB0As4UkqYpA1qIw,BiancaGadelha,,1.0430518864840497
843,WQXAroZNbFK5c37sJkGEAg,mayasierra,,0.8616585768571555
667,5c81vzdJmcRBZYoR2yZBWA,roveneliah,0.0,0.7333480646135687
844,HpyIKk2qre3N3Q53sqZLtw,kelsien,,0.7125613933235772
637,qUVLkw1IxsksGTBS0OLuVw,witwiki-discourse,0.0,0.6954381482049201
845,W4OwRHMGwk9TjFG4X1eKtg,Fobey123,,0.6898061868917689
846,xVC1TAs2gNM4Rv0PGmOzrA,TiberiusB,,0.6816067615450452
629,ixR4pc1Q4TZrZRVOAfR2Dw,Marc-discourse,0.0,0.6656639864967492
847,ZRiN0NZ7h4uz49SOdCBuBQ,GuccuKudo,,0.6528264210776255
848,SY9gkwoSxxd7d4j589d17g,Maindefi,,0.6499763742856028
849,w7LoKq4r1JddMUqq3IjxBQ,UncleBimBim,,0.6454361596063589
850,J9w8r11s59QPoXUWVEjY1A,tony888,,0.6408752973162584
851,QVSd6JQ1rNdT6E3HmROFQg,AnaTech-discourse,,0.6270238820516193
852,eZndrvVZnOaikpxqPXKFJA,Rohekbenitez,,0.5963036904502729
647,3IDBgPo2roxNRb5Uk2So4A,phacker3,0.0,0.5932158411752745
853,T6q3S0GwTaac3Dj8udAsRw,Radical-Sociologist,,0.5911623897938174
854,xXoy17KlNJiEHYzsjIX4Bw,freshelle,,0.5165240656200265
60,q0NyG0ja5fYMofDqj9VwLQ,joshuavial,0.0,0.3955245139761668
855,bqiO0g0K4K1N75xP1oNdsw,PatriciaTEA,,0.3595588409560071
3261,VudvHLQ6mKKHOaZNcE5iXw,senryu,,1.4474079853043356e-24
3316,r0NwaYnH895oJbJAZajsdQ,Radical-Rebalancing,,1.4474079853043356e-24
3315,mI4mnxi3NXyuJbvyjJbmqQ,goerrk,,1.4474079853043356e-24
3232,1LRgvYN0sDkP2dzxr1WM1A,DAOofSteve,,1.4474079853043356e-24
3253,JswOyXzp1eevEvkn049Zfw,Sim3-GMT-8,,1.4474079853043356e-24
3231,rtMiqeCDm01EgiwP5vZ5MQ,PiedraDeMar,,1.4474079853043356e-24
3314,vU0Cbna9ldra4CQadGTwUA,bredi,,1.4474079853043356e-24
3254,8hma7p3RlEYSWNFL4sRDSQ,dough-naut,,1.4474079853043356e-24
3236,LqGmlygWiReUMMCYLyjeFg,boogie20,,1.4474079853043356e-24
3233,8GhGpQGHjF46zlQxIVvozQ,V-Stegen,,1.4474079853043356e-24
3230,3Xa1653vpjXEw9uBNPbEOw,heartradiance,,1.4474079853043356e-24
3255,bNTGhvYFjov4fVaHZB1Tdg,landakram,,1.4474079853043356e-24
3256,IKk1Zj7IXpuYdTrQnsNX6g,gthm,,1.4474079853043356e-24
3257,KXMIowl0Ijwn7M95sbCpww,Ben-Hout,,1.4474079853043356e-24
3258,sQqnYeJl2qUQo7ZTaIXRmQ,Telcoin-Parker,,1.4474079853043356e-24
3229,KEu3E6MfDSdkznP8Q6zAyg,Espectaculativo,,1.4474079853043356e-24
3312,1s6v4R8lBbE9bilbw50u2g,rb-discord,,1.4474079853043356e-24
3259,phxF7LacWa3nM07SEpUlEg,Gama,,1.4474079853043356e-24
3260,Mt9rlzN7jZukNTyCNodiMA,knic,,1.4474079853043356e-24
3313,JNQC2QnkpO95N5xIV1bWzQ,meep,,1.4474079853043356e-24
3317,4mLE79jeqqf0lVORlnYhRQ,Chronospay,,1.4474079853043356e-24
3237,MwjwofR8b2iDNzauwAjz7g,Bhakta12,,1.4474079853043356e-24
3246,EDYyLA8gj8gl5hYV1AXAYg,Tom---freeos-io---freedao-io,,1.4474079853043356e-24
3238,nUWrRnTBGrf1EHe38nCMlA,Don-Boneo,,1.4474079853043356e-24
3239,mhgozZSJ6xbpHpSdF8wzig,realorrin,,1.4474079853043356e-24
3240,8Tj3IjSlGD0gTGB6ToHn2A,marcvs,,1.4474079853043356e-24
3241,zrYmw9DQ1dT1uktaRrW90g,Arvin,,1.4474079853043356e-24
